text,frequency_kind,frequency_spec,weekly_target,base_points,difficulty,flexible_within_week,counts_for_clear,is_active,downgrade_of,auto_verify,launch_url,notes
"Clean and tidy the apartment (vacuum, dishes, dust, litter box, water fountain)",weekly,SAT,1,25,E,FALSE,TRUE,TRUE,,,,
Take out the trash,weekly,"WED,SAT",2,5,E,FALSE,TRUE,TRUE,,,,"Must be done same-day, cannot be moved"
"Cat grooming (brushing, nail trim, playtime)",weekly,SUN,1,15,E,FALSE,TRUE,TRUE,,,,
Change bedsheets,nthWeekdayOfMonth,1:SAT,1,15,M,TRUE,TRUE,TRUE,,,,First weekend of the month
Grocery shopping and cleaning out the fridge,weekly,SAT,1,10,E,TRUE,TRUE,TRUE,,,,
Review bills/statements,nthWeekdayOfMonth,-1:SAT,1,20,H,TRUE,TRUE,TRUE,,,,Last weekend of the month
Workout: dumbbell training,weekly,"TUE,WED",2,20,H,TRUE,TRUE,TRUE,,calendar_workout:20,,
Workout: running,weekly,FRI,1,25,M,TRUE,TRUE,TRUE,,calendar_workout:25,,
Workout: weight training,weekly,"SAT,SUN",2,30,H,TRUE,TRUE,TRUE,,calendar_workout:40,,"May get bumped by social plans, counted weekly"
Send job applications,weekly,"THU,SUN",2,25,M,TRUE,TRUE,TRUE,,,,
"Study (examples, LeetCode, interview experience)",weekly,"MON,TUE,WED",3,20,M,TRUE,TRUE,TRUE,,,,
Work on project,weekly,"SAT,SUN",2,35,H,TRUE,TRUE,TRUE,,,,
Go to the office,weekly,"MON,THU",2,5,E,FALSE,FALSE,FALSE,,,,"Disabled for now. Not counted toward full-clear or penalties, check-in only"
Just the litter box and dishes,,,,10,E,FALSE,TRUE,TRUE,"Clean and tidy the apartment (vacuum, dishes, dust, litter box, water fountain)",,,Downgrade version
Just brushing and playtime,,,,8,E,FALSE,TRUE,TRUE,"Cat grooming (brushing, nail trim, playtime)",,,Downgrade version
"Check the credit card statement only, skip the full reconciliation",,,,10,E,TRUE,TRUE,TRUE,Review bills/statements,,,Downgrade version
"Walk, 30 minutes",,,,10,E,TRUE,TRUE,TRUE,Workout: dumbbell training|Workout: weight training,calendar_workout:30,,"Downgrade version. The only one the strength routines offer, so a cycle or low-energy day can never land on lighter weights"
"Incline walk, 30 minutes",,,,12,E,TRUE,TRUE,TRUE,Workout: running,calendar_workout:30,,Downgrade version
Just one easy problem,,,,8,E,TRUE,TRUE,TRUE,"Study (examples, LeetCode, interview experience)",,,Downgrade version
"Just 30 minutes on the project, no progress required",,,,15,E,TRUE,TRUE,TRUE,Work on project,,,Downgrade version
